kode,nama,lat,lng
34.04,Kabupaten Sleman,-7.71655,110.35577
34.71,Kota Yogyakarta,-7.79991,110.39137
35.01,Kabupaten Pacitan,-8.19448,111.10317
35.02,Kabupaten Ponorogo,-7.87087,111.46255
35.03,Kabupaten Trenggalek,-8.04791,111.70915
35.04,Kabupaten Tulungagung,-8.06436,111.90068
35.05,Kabupaten Blitar,-8.12393,112.21307
35.06,Kabupaten Kediri,-7.80216,112.04111
35.07,Kabupaten Malang,-8.10546,112.57329
35.08,Kabupaten Lumajang,-8.13521,113.22439
35.09,Kabupaten Jember,-8.16967,113.70215
35.10,Kabupaten Banyuwangi,-8.22304,114.36644
35.11,Kabupaten Bondowoso,-7.91444,113.82185
35.12,Kabupaten Situbondo,-7.70734,114.00178
35.13,Kabupaten Probolinggo,-7.76182,113.41597
35.14,Kabupaten Pasuruan,-7.64901,112.90516
35.15,Kabupaten Sidoarjo,-7.44717,112.71808
35.16,Kabupaten Mojokerto,-7.46284,112.43342
35.17,Kabupaten Jombang,-7.5564,112.23461
35.18,Kabupaten Nganjuk,-7.60198,111.9019
35.19,Kabupaten Madiun,-7.53854,111.65348
35.20,Kabupaten Magetan,-7.65616,111.32927
35.21,Kabupaten Ngawi,-7.40129,111.44544
35.22,Kabupaten Bojonegoro,-7.14994,111.88154
35.23,Kabupaten Tuban,-6.8961,112.06506
35.24,Kabupaten Lamongan,-7.12103,112.41543
35.25,Kabupaten Gresik,-7.17059,112.59968
35.26,Kabupaten Bangkalan,-7.04639,112.73707
35.27,Kabupaten Sampang,-7.18754,113.23734
35.28,Kabupaten Pamekasan,-7.15688,113.47188
35.29,Kabupaten Sumenep,-7.01403,113.86353
35.71,Kota Kediri,-7.81219,112.01428
35.72,Kota Blitar,-8.09917,112.16455
35.73,Kota Malang,-7.97779,112.63384
35.74,Kota Probolinggo,-7.75368,113.21424
35.75,Kota Pasuruan,-7.64737,112.90855
35.76,Kota Mojokerto,-7.46282,112.43345
35.77,Kota Madiun,-7.6244,111.52065
35.78,Kota Surabaya,-7.25889,112.74704
35.79,Kota Batu,-7.86252,112.51335
36.01,Kabupaten Pandeglang,-6.31686,106.11479
36.02,Kabupaten Lebak,-6.36077,106.24619
36.03,Kabupaten Tangerang,-6.26963,106.4844
36.04,Kabupaten Serang,-6.1153,106.15202
36.71,Kota Tangerang,-6.16436,106.64107
36.72,Kota Cilegon,-6.00981,106.04213
36.73,Kota Serang,-6.1197,106.17346
36.74,Kota Tangerang Selatan,-6.32157,106.70774
51.01,Kabupaten Jembrana,-8.3573,114.6369
51.02,Kabupaten Tabanan,-8.5395,115.13103
51.03,Kabupaten Badung,-8.60192,115.17915
51.04,Kabupaten Gianyar,-8.54085,115.32411
51.05,Kabupaten Klungkung,-8.5344,115.40298
51.06,Kabupaten Bangli,-8.46176,115.35248
51.07,Kabupaten Karangasem,-8.43885,115.61223
51.08,Kabupaten Buleleng,-8.12516,115.09285
51.71,Kota Denpasar,-8.65446,115.21653
52.01,Kabupaten Lombok Barat,-8.6814,116.13671
52.02,Kabupaten Lombok Tengah,-8.70613,116.27003
52.03,Kabupaten Lombok Timur,-8.65094,116.52965
52.04,Kabupaten Sumbawa,-8.48951,117.41969
52.05,Kabupaten Dompu,-8.53411,118.46475
52.06,Kabupaten Bima,-8.55653,118.67016
52.07,Kabupaten Sumbawa Barat,-8.75391,116.85427
52.08,Kabupaten Lombok Utara,-8.35634,116.15927
52.71,Kota Mataram,-8.58273,116.10814
52.72,Kota Bima,-8.46166,118.74872
53.01,Kabupaten Kupang,-10.07277,123.86446
53.02,Kabupaten Timor Tengah Selatan,-9.85178,124.26648
53.03,Kabupaten Timor Tengah Utara,-9.45693,124.47509
53.04,Kabupaten Belu,-9.10589,124.87358
53.05,Kabupaten Alor,-8.20931,124.57346
53.06,Kabupaten Flores Timur,-8.32645,123.00311
53.07,Kabupaten Sikka,-8.61659,122.20808
53.08,Kabupaten Ende,-8.84345,121.66223
53.09,Kabupaten Ngada,-8.78517,120.97473
53.10,Kabupaten Manggarai,-8.61145,120.4643
53.11,Kabupaten Sumba Timur,-9.66079,120.26132
53.12,Kabupaten Sumba Barat,-9.64732,119.39401
53.13,Kabupaten Lembata,-8.35989,123.45924
53.14,Kabupaten Rote Ndao,-10.7578,123.06259
53.15,Kabupaten Manggarai Barat,-8.49596,119.8943
53.16,Kabupaten Nagekeo,-8.57546,121.28113
53.17,Kabupaten Sumba Tengah,-9.62268,119.60043
53.18,Kabupaten Sumba Barat Daya,-9.39174,119.18099
53.19,Kabupaten Manggarai Timur,-8.74947,120.60862
53.20,Kabupaten Sabu Raijua,-10.45278,121.87803
53.21,Kabupaten Malaka,-9.4446,124.91758
53.71,Kota Kupang,-10.1539,123.61939
61.01,Kabupaten Sambas,1.36109,109.3285
61.02,Kabupaten Mempawah,0.35074,108.96248
61.03,Kabupaten Sanggau,0.12348,110.59605
61.04,Kabupaten Ketapang,-1.84423,109.97894
61.05,Kabupaten Sintang,0.07865,111.49548
61.06,Kabupaten Kapuas Hulu,0.87926,112.92539
61.07,Kabupaten Bengkayang,0.8691,109.49749
61.08,Kabupaten Landak,0.37479,109.93827
61.09,Kabupaten Sekadau,0.00719,110.95472
61.10,Kabupaten Melawi,-0.37693,111.76437
61.11,Kabupaten Kayong Utara,-1.25332,109.95438
61.12,Kabupaten Kubu Raya,-0.12686,109.40396
61.71,Kota Pontianak,-0.02209,109.3381
61.72,Kota Singkawang,0.90479,108.97741
62.01,Kabupaten Kotawaringin Barat,-2.69222,111.63434
62.02,Kabupaten Kotawaringin Timur,-2.53754,112.94101
62.03,Kabupaten Kapuas,-2.96447,114.41613
62.04,Kabupaten Barito Selatan,-1.719,114.84513
62.05,Kabupaten Barito Utara,-0.95207,114.89845
62.06,Kabupaten Katingan,-1.88072,113.39918
62.07,Kabupaten Seruyan,-3.41384,112.5417
62.08,Kabupaten Sukamara,-2.76053,111.17663
62.09,Kabupaten Lamandau,-2.18482,111.42762
62.10,Kabupaten Gunung Mas,-1.12726,113.84387
62.11,Kabupaten Pulang Pisau,-2.71643,114.30473
62.12,Kabupaten Murung Raya,-0.64021,114.56875
62.13,Kabupaten Barito Timur,-2.11534,115.1692
62.71,Kota Palangkaraya,-2.174,113.88027
63.01,Kabupaten Tanah Laut,-3.79947,114.78255
63.02,Kabupaten Kotabaru,-3.23624,116.22798
63.03,Kabupaten Banjar,-3.40873,114.84816
63.04,Kabupaten Barito Kuala,-2.97834,114.7658
63.05,Kabupaten Tapin,-2.93211,115.1633
63.06,Kabupaten Hulu Sungai Selatan,-2.78651,115.26595
63.07,Kabupaten Hulu Sungai Tengah,-2.58477,115.38453
63.08,Kabupaten Hulu Sungai Utara,-2.41887,115.25434
63.09,Kabupaten Tabalong,-2.16435,115.38236
63.10,Kabupaten Tanah Bumbu,-3.48324,115.94681
63.11,Kabupaten Balangan,-2.36357,115.47108
63.71,Kota Banjarmasin,-3.32749,114.589
63.72,Kota Banjarbaru,-3.43862,114.83106
64.01,Kabupaten Paser,-1.91043,116.19133
64.02,Kabupaten Kutai Kartanegara,-0.44278,116.99867
64.03,Kabupaten Berau,2.15003,117.5076
64.07,Kabupaten Kutai Barat,-0.23655,115.69643
64.08,Kabupaten Kutai Timur,0.52568,117.60822
64.09,Kabupaten Penajam Paser Utara,-1.3082,116.7269
64.11,Kabupaten Mahakam Ulu,0.50568,115.27081
64.71,Kota Balikpapan,-1.27634,116.82776
64.72,Kota Samarinda,-0.49136,117.14598
64.74,Kota Bontang,0.06955,117.4442
65.01,Kabupaten Bulungan,2.84086,117.39808
65.02,Kabupaten Malinau,3.55193,116.62208
65.03,Kabupaten Nunukan,4.07708,117.71891
65.04,Kabupaten Tana Tidung,3.60227,116.90275
65.71,Kota Tarakan,3.31374,117.60486
